accession_number,title,description,provenance,provenance_detail,section,publication_notes,status,description_source_page,primary_image_file,primary_image_caption,image_appendix,image_source_page,image_status,image_count,has_description,has_image,matched
1909.61.4,,Bronze imitation of a polished stone axe,William John Ansorge,"Purchased by the Pitt Rivers Museum from William Downing Webster in 1908, and recorded as from a collection made by Dr William John Ansorge. See discussion in Section 2.6",2.6,Listed in Dark 1982 on p. 2.1.79 as G4/74-G4/79,confirmed_1897,40,1909.61.4.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Appendix 4,110,available,1,true,true,true
1909.61.5,,Bronze imitation of a polished stone axe,William John Ansorge,"Purchased by the Pitt Rivers Museum from William Downing Webster in 1908, and recorded as from a collection made by Dr William John Ansorge. See discussion in Section 2.6",2.6,Listed in Dark 1982 on p. 2.1.79 as G4/74-G4/79,confirmed_1897,40,1909.61.5_1.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Appendix 4,111,available,1,true,true,true
1909.61.6,,Bronze imitation of a polished stone axe,William John Ansorge,"Purchased by the Pitt Rivers Museum from William Downing Webster in 1908, and recorded as from a collection made by Dr William John Ansorge. See discussion in Section 2.6",2.6,Listed in Dark 1982 on p. 2.1.79 as G4/74-G4/79,confirmed_1897,40,1909.61.6.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Appendix 4,112,available,1,true,true,true
1909.61.7,,Bronze imitation of a polished stone axe,William John Ansorge,"Purchased by the Pitt Rivers Museum from William Downing Webster in 1908, and recorded as from a collection made by Dr William John Ansorge. See discussion in Section 2.6",2.6,Listed in Dark 1982 on p. 2.1.79 as G4/74-G4/79,confirmed_1897,41,1909.61.7.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,Appendix 4,113,available,1,true,true,true
1909.67.22,,Bronze bracelet,,,1.2,Backfilled from artifact image page; image says 'See discussion in Section 1.2',,180,1909.67.22.png,Bronze bracelet,Appendix 5,180,available,1,true,true,true
1909.67.25,,Pair of bronze anklets,,,1.2,Backfilled from artifact image page; image says 'See discussion in Section 1.2',,181,1909.67.25.png,Pair of bronze anklets,Appendix 5,181,available,1,true,true,true
1909.67.26,,Pair of bronze anklets,,,1.2,Backfilled from shared artifact image page with 1909.67.25; image says 'See discussion in Section 1.2',,181,1909.67.25.png,Pair of bronze anklets,Appendix 5,181,available,1,true,true,true
1909.67.33,,Bronze lampstand,,,1.2,Backfilled from artifact image page; image says 'See discussion in Section 1.2',,182,1909.67.33.png,Bronze lampstand,Appendix 5,182,available,1,true,true,true
1909.67.35,,String of crotals,,,1.2,Backfilled from artifact image page; image says 'See discussion in Section 1.2',,183,1909.67.35.png,String of crotals,Appendix 5,183,available,1,true,true,true
1909.67.36,,String of crotals,,,1.2,Backfilled from artifact image page; image says 'See discussion in Section 1.2',,184,1909.67.36.png,String of crotals,Appendix 5,184,available,1,true,true,true
1917.2.13,,Bronze hip-ornament mask,Sir George Chardin Denton,"Donated to the Pitt Rivers Museum in 1917 by Sir George Chardin Denton, who had been Colonial Secretary of the Colony of Lagos from 1889 to 1900, then Administrator (renamed in 1901 Governor) of the Gambia until 1911. See discussion in Section 2.17",2.17,Listed in Dark 1982 on p. 2.1.32 as B8/73,confirmed_1897,41,1917.2.13.png,Bronze face pendant,Appendix 4,114,available,1,true,true,true
1917.38.1,,Bronze bell,Beatrice Braithwaite Batty,Donated to the Pitt Rivers Museum in 1917 by Beatrice Braithwaite Batty. See discussion in Section 2.14,2.14,Listed in Dark 1982 on p. 2.1.32 as B9/8,confirmed_1897,41,1917.38.1_1.png,Bronze bell,Appendix 4,115,available,1,true,true,true
1917.38.2,,Bronze bell,Beatrice Braithwaite Batty,Donated to the Pitt Rivers Museum in 1917 by Beatrice Braithwaite Batty. See discussion in Section 2.14,2.14,Listed in Dark 1982 on p. 2.1.32 as B9/9,confirmed_1897,41,1917.38.2.png,Bronze bells,Appendix 4,116,available,1,true,true,true
1922.67.1,,Crossbow,,,3.5,Backfilled from artifact image page; image says 'See discussion in Section 3.5',possible_1897,185,1922.67.1.png,Crossbow,Appendix 5,185,available,1,true,true,true
1923.2.1,,Sword,,,3.5,Backfilled from artifact image page; image says 'See discussion in Section 3.5',possible_1897,186,1923.2.1.png,Sword,Appendix 5,186,available,1,true,true,true
1932.88.863,,Bronze lamp,William Downing Webster,"Purchased from William Downing Webster in 1901 by Henry Balfour, and accessioned into the Pitt Rivers Museum later. Publication note cropped in screenshot.",2.5,,listed in dark 1982 on p. 2.1.32 as b9/4,confirmed_1897,1932.88.863.png,Brass object,Appendix 4,117,available,1,true,true,true
1932.88.864,,Bronze lamp,Henry Balfour,"Obtained in 1900 by Henry Balfour “by exchange”, and accessioned into the Pitt Rivers Museum collections by Balfour in 1932. See discussion in Section 2.15",2.15,Listed in Dark 1982 on p. 2.1.32 as B9/3,confirmed_1897,42,1932.88.864_1.png,Brass vessel with iron carrying frame,Appendix 4,118,available,1,true,true,true
1934.46.3,,Wooden staff or club,,,3.6,Backfilled from shared artifact image page with 1923.2.1; image says 'See discussion in Section 3.6',possible_1897,186,1923.2.1.png,Wooden staff or club,Appendix 5,186,available,1,true,true,true
1938.31.27,,,,,3.7,,,,,,Appendix 5,186,no_image,1,false,false,false
1938.34.94,,Ivory side-blast trumpet,Thomas William Taphouse,"Purchased from Thomas William Taphouse in 1905 by Henry Balfour, and accessioned into the Pitt Rivers Museum collections by Balfour in 1938. See discussion in Section 2.18",2.18,Listed in Dark 1982 on p. 2.1.33 as B9/66,possible_1897,42,1938.34.94_1.png,Ivory tusk,Appendix 4,119,available,1,true,true,true
1941.2.117,,Bronze Bell,Cranmore Ethnological Museum,"Donated to the Pitt Rivers Museum in 1941 from Harry Geoffrey Beasley’s Cranmore Ethnological Museum when it closed. Beasley had purchased it from F.L. Goodman, per Thomas Athol Joyce on 14 August 1928. See discussion in Section 2.9",2.9,Listed in Dark 1982 on p. 2.1.32 as B9/28,confirmed_1897,42,1941.2.117.png,Bronze bell,Appendix 4,120,available,1,true,true,true
1941.2.118,,Bronze Bell,Cranmore Ethnological Museum,Donated to the Pitt Rivers Museum in 1941 from Harry Geoffrey Beasley’s Cranmore Ethnological Museum when it closed. Beasley had purchased it from a dealer in Newbury on 16 Feb 1932. See discussion in Section 2.9,2.9,Listed in Dark 1982 on p. 2.1.32 as B9/29,confirmed_1897,42,1941.2.118.png,Bronze bell,Appendix 4,121,available,1,true,true,true
1941.2.119,,Bronze Bell,Cranmore Ethnological Museum,Donated to the Pitt Rivers Museum in 1941 from Harry Geoffrey Beasley’s Cranmore Ethnological Museum when it closed. Beasley had purchased it at Stevens Auction Rooms on 31 May 1935. See discussion in Section 2.9,2.9,Listed in Dark 1982 on p. 2.1.32 as B9/27,confirmed_1897,42,1941.2.119.png,Bronze bell,Appendix 4,122,available,1,true,true,true
1941.2.124,,Wooden rattle staff,Cranmore Ethnological Museum,Donated to the Pitt Rivers Museum in 1941 from Harry Geoffrey Beasley’s Cranmore Ethnological Museum when it closed. See discussion in Section 2.9,2.9,Listed in Dark 1982 on p. 2.1.33 as B9/46,confirmed_1897,42,1941.2.124.png,Wooden staff finial,Appendix 4,123,available,1,true,true,true
1946.6.80,,Bronze bell,Dr Mervyn David Waldegrave Jeffreys,Donated to the Pitt Rivers Museum in 1946 by Dr Mervyn David Waldegrave Jeffreys of the University of Witwatersrand. See discussion in Section 2.19,2.19,Listed in Dark 1982 on p. 2.1.32 as B9/10,confirmed_1897,43,1946.6.80_1.png,Brass bell fragment,Appendix 4,124,available,1,true,true,true
1965.9.1 B,,Brass hip ornament mask,Pitt-Rivers Museum,"Purchased by Pitt-Rivers for his second museum on 11 May 1898, from William Downing Webster. Sold off by the Pitt-Rivers family through the Parke-Benet Galleries in New York City, and bought by the Pitt Rivers Museum from the gallery. See discussion in Section 2.7 and illustration in Appendix 3",2.7,Pitt-Rivers Second Collection volume 5 page 1593; Listed in Dark 1982 on p. 2.1.1 as O/34; Reproduced in Pitt-Rivers 1900 on p. 20 as figures 62 and 63,confirmed_1897,43,1965.9.1.png,Leopard mask,Appendix 4,125,available,1,true,true,true
1966.13.1,,Bronze head,Pitt-Rivers Museum,"Purchased by Augustus Pitt-Rivers for £19 for his second museum on 13 August 1898, from William Downing Webster. Sold off by the Pitt-Rivers family at Sotheby’s on 15 Nov 1965 and purchased by K.J. Hewett for £2,800. See discussion in Section 2.7 and illustration in Appendix 3. In an appeal to the Reviewing Committee on the Export of Works of Art on 31 Jan 1965, its export to Paris was authorised. Following negotiations it was purchased by the Pitt Rivers Museum (Oxford) from Charles Ratton.",2.7,"Pitt-Rivers Second Collection volume 5, page 1699; Listed in Dark 1982 on p. 2.1.3 as 1/1",confirmed_1897,43,1966.13.1_1.png,Pitt-Rivers catalogue card showing bronze head,Appendix 3,51,available,2,true,true,true
1967.45.1,,Terracotta head,,,1.2,Backfilled from artifact image page; image says 'See discussion in Section 1.2',,187,1967.45.1.png,Terracotta head,Appendix 5,187,available,1,true,true,true
1970.16.1,,Group of heads,,,3.8,Backfilled from artifact image page; image says 'See discussion in Section 3.8',possible_1897,188,1970.16.1.png,Group of heads,Appendix 5,188,available,1,true,true,true
1975.7.1,,Bronze figure of a man wearing a rope harness,Pitt-Rivers Museum,"Purchased by Augustus Pitt-Rivers for his second museum on 13 August 1898, from William Downing Webster. Sold off by the Pitt-Rivers family through the Parke-Benet Galleries in New York City, and bought by the Pitt Rivers Museum from the gallery. See discussion in Section 2.7 and illustrations in Appendix 3",2.7,"Pitt-Rivers Second Collection volume 5, page 1711; Listed in Dark 1982 on p. 2.1.3 as O/79",confirmed_1897,43,1975.7.1.png,Figure,Appendix 3,127,available,1,true,true,true
1975.7.2,,Bronze cylindrical vessel with decoration depicting animal and human heads,Pitt-Rivers Museum,"Purchased by Augustus Pitt-Rivers for his second museum on 7 Nov 1899 at Stevens’ Auction Rooms. Sold off by the Pitt-Rivers family through the Parke-Benet Galleries in New York City, and bought by the Pitt Rivers Museum from the gallery. See discussion in Section 2.7 and illustrations in Appendix 3",2.7,"Pitt-Rivers Second Collection volume 6, p. 1991; Listed in Dark 1982 on p. 2.1.6 as 2/38",confirmed_1897,44,1975.7.2_1.png,Pitt-Rivers catalogue card showing cylindrical metal box,Appendix 3,52,available,2,true,true,true
1979.8.1,,Wooden stool with carved decoration depicting human figures,Reginald Kerr Granville,Looted by Reginald Kerr Granville in 1897; purchased by the Pitt Rivers Museum from his grandson John Granville in June 1979. See discussion in Section 2.20,2.20,unpublished,confirmed_1897,44,1979.8.1.png,Brass stool,Appendix 4,129,available,1,true,true,true
1980.19.1,,Bronze figure of a hippo,probably broken from a staff,Unknown,Recorded on the museum database as “found unentered in 1980”. See discussion in Section 2.21,2.21,unpublished,possible_1897,1980.19.1.png,Animal figure finial,Appendix 4,130,available,1,true,true,true
1983.25.1,,Brass hip-ornament mask,Harold Mordley Douglas,"Part of the Reitlinger Gift to the University of Oxford in 1983, and currently on long-term loan from the Ashmolean Museum to the Pitt Rivers Museum. Purchased by Gerald Roberts Reitlinger in 1978 and recorded as being “originally in the possession of Harold Moseley Douglas [sic], appointed Governor of Benin City after the punitive expedition of 1897”. This is a reference to Harold Mordley Douglas who was appointed Assistant District Commissioner for Niger Coast Protectorate in January 1898. See discussion in Section 2.11",2.11,unpublished,confirmed_1897,44,1983.25.1.png,Bronze head pendant,Appendix 4,131,available,1,true,true,true
1983.25.2,,Brass hip-ornament mask,Harold Mordley Douglas,"Part of the Reitlinger Gift to the University of Oxford in 1983, and currently on long-term loan from the Ashmolean Museum to the Pitt Rivers Museum. Purchased by Gerald Roberts Reitlinger in 1978 and recorded as being “originally in the possession of Harold Moseley Douglas [sic], appointed Governor of Benin City after the punitive expedition of 1897”. This is a reference to Harold Mordley Douglas who was appointed Assistant District Commissioner for Niger Coast Protectorate in January 1898. See discussion in Section 2.11",2.11,unpublished,confirmed_1897,45,1983.25.2_1.png,Bronze head pendant,Appendix 4,132,available,1,true,true,true
1983.25.3,,Brass hip-ornament mask,Harold Mordley Douglas,"Part of the Reitlinger Gift to the University of Oxford in 1983, and currently on long-term loan from the Ashmolean Museum to the Pitt Rivers Museum. Purchased by Gerald Roberts Reitlinger in 1978 and recorded as being “originally in the possession of Harold Moseley Douglas [sic], appointed Governor of Benin City after the punitive expedition of 1897”. This is a reference to Harold Mordley Douglas who was appointed Assistant District Commissioner for Niger Coast Protectorate in January 1898. See discussion in Section 2.11",2.11,unpublished,confirmed_1897,45,1983.25.3.png,Bronze head pendant,Appendix 4,133,available,1,true,true,true
1988.11.1,,Wooden comb,Pitt-Rivers Museum,Donated to Augustus Pitt-Rivers from Henry Ling Roth for his second museum in May 1898. Sold off by the Pitt-Rivers family at some point and bought by the Pitt Rivers Museum at Christie’s in 1988. See discussion in Section 2.7 and illustrations in Appendix 3,2.7,"Pitt-Rivers Second Collection catalogue vol 5, p. 1681",confirmed_1897,45,1988.11.1.png,Comb,Appendix 3,134,available,1,true,true,true
1988.11.2,,Wooden comb,Pitt-Rivers Museum,Donated to Augustus Pitt-Rivers from Henry Ling Roth for his second museum in May 1898. Sold off by the Pitt-Rivers family at some point and bought by the Pitt Rivers Museum at Christie’s in 1988. See discussion in Section 2.7 and illustrations in Appendix 3,2.7,"Pitt-Rivers Second Collection catalogue vol 5, p. 1681",confirmed_1897,46,1988.11.2_1.png,Double comb,Appendix 3,135,available,1,true,true,true
1991.13.1,,Carved ivory tusk burnt in the fires during the desecration of Benin City,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,47,1991.13.1_3.png,Carved tusks (1991.13.1 and 1991.13.2 shown together),,136,available,1,true,true,true
1991.13.2,,Carved ivory tusk,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,47,1991.13.1_3.png,Carved tusks (1991.13.1 and 1991.13.2 shown together),,136,available,1,true,true,true
1991.13.3,,Silver-plated ceremonial sword (eben) stamped as made by the British firm of Mappin & Webb. Probably the sword made for the Oba by the trader Cyril Punch in circa 1892,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,"Described in a quotation from Punch reproduced in Ling-Roth 1903, page 227",confirmed_1897,47,1991.13.3.png,Ceremonial blade,,137,available,1,true,true,true
1991.13.4,,Ivory ladle with inlaid bronze and a bronze human figure on the handle,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,47,,,,,,0,true,false,false
1991.13.5,,Ivory commemorative head with eyes inlaid with bronze,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 476 as figure 804,confirmed_1897,47,1991.13.5.png,Carved object with face,,138,available,1,true,true,true
1991.13.6,,Ivory pedestal bowl inlaid with bronze,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 487 as figures 839 and 841,confirmed_1897,47,1991.13.6.png,Pedestal bowl,,139,available,1,true,true,true
1991.13.7,,Ivory lid with five projections,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 487 as figure 838,confirmed_1897,47,1991.13.7.png,Ivory stand or base,,140,available,1,true,true,true
1991.13.8,,Brass relief plaque depicting three figures,the central one holding a ceremonial box,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,"listed in gunsch 2018, p. 227",confirmed_1897,1991.13.8.png,Plaque with three figures,,141,available,1,true,true,true
1991.13.9,,Ivory carved figure,probably broken from a ceremonial staff or flywhisk,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,reproduced in von luschan 1919 on page 414 as figure 639,confirmed_1897,1991.13.9.png,Carved ivory object,,142,available,1,true,true,true
1991.13.10.1,,Bronze ring-shaped container with incised decoration depicting a fish,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,47,1991.13.10.1.png,Decorated vessel or lid component,,143,available,1,true,true,true
1991.13.10.2,,Bronze lid for container (1991.13.10.2),Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,47,1991.13.10.2.png,Decorated vessel shown open,,144,available,1,true,true,true
1991.13.11,,Bronze altar-piece base,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,47,1991.13.11.png,Square carved block or base,,145,available,1,true,true,true
1991.13.12,,Bronze armlet,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 395 as figure 592,confirmed_1897,47,1991.13.12.png,Decorated cylindrical vessel,,146,available,1,true,true,true
1991.13.13,,Bronze armlet,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 396 as figure 596,confirmed_1897,47,1991.13.13.png,Ridged cylindrical vessel,,147,available,1,true,true,true
1991.13.14,,Gilded bronze armlet,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 395 as figure 593,confirmed_1897,47,1991.13.14.png,Decorated cylindrical vessel,,148,available,1,true,true,true
1991.13.15,,Bronze armlet,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 395 as figure 594,confirmed_1897,48,1991.13.15_1.png,Decorated cylindrical vessel,,149,available,1,true,true,true
1991.13.16,,Ivory armlet with inlaid bronze,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.16.png,Carved ring-shaped object,,150,available,1,true,true,true
1991.13.17.1,,Ceremonial sword (ada),Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 442 as figure 704a; Reproduced in Girshick Ben-Amos 1995 on page 24 as plate 13,confirmed_1897,48,1991.13.17.1.png,Net-covered ceremonial object,,151,available,1,true,true,true
1991.13.17.2,,Coralwork sheath for ceremonial sword (1991.13.17.1),Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 442 as figure 704a; Reproduced in Girshick Ben-Amos 1995 on page 24 as plate 13,confirmed_1897,48,1991.13.17.1.png,Net-covered ceremonial object,,151,available,1,true,true,true
1991.13.18,,Ceremonial sword (ada),Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.18.png,Pair of curved blades,,152,available,1,true,true,true
1991.13.19,,Ceremonial sword (ada),Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.19.png,Pair of curved blades,,153,available,1,true,true,true
1991.13.20,,Side-blown ivory trumpet,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.20.png,Carved tusk or horn,,154,available,1,true,true,true
1991.13.21,,Gilded bronze cone-shaped hip ornament,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.21.png,Conical decorated metal object,,155,available,1,true,true,true
1991.13.22,,Gilded bronze cone-shaped hip ornament,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.22.png,Conical decorated metal object,,156,available,1,true,true,true
1991.13.23,,Gilded bronze cone-shaped hip ornament,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.23.png,Conical decorated metal object,,157,available,1,true,true,true
1991.13.24,,Gilded bronze cone-shaped hip ornament,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.24.png,Conical decorated metal object,,158,available,1,true,true,true
1991.13.25,,Bronze altarpiece with figures of the Queen Mother with six attendants,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 314 as figure 459,confirmed_1897,48,1991.13.25.png,Figural shrine or altar group,,159,available,1,true,true,true
1991.13.26,,Ivory armlet inlaid with brass,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 400 as figure 609,confirmed_1897,481991.13.28,1991.13.26.png,Carved cylindrical vessel,,160,available,1,true,true,true
1991.13.27.1,,Ivory double armlet with carved openwork decoration,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 405 as figure 624,confirmed_1897,48,1991.13.27.1.png,Carved cylindrical container,,161,available,1,true,true,true
1991.13.27.2,,Ivory double armlet with carved openwork decoration,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 405 as figure 624,confirmed_1897,48,1991.13.27.1.png,Carved cylindrical container,,161,available,1,true,true,true
1991.13.28,,Ivory side-blown trumpet (fragment),Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.28.png,Decorated tapering metal object,,162,available,1,true,true,true
1991.13.32,,Bronze armlet,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.32.png,Linked bracelet or anklet with bells,,163,available,1,true,true,true
1991.13.33,,Bronze armlet,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.33.png,Linked bracelet or anklet with bells,,164,available,1,true,true,true
1991.13.34,,Bronze armlet,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.34.png,Segmented ring or bracelet,,165,available,1,true,true,true
1991.13.35,,Bronze armlet with inset coral,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.35.png,Circular metal object with projecting studs,,166,available,1,true,true,true
1991.13.36,,Wooden painted altar-piece igibile mask with a canework base,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in Fagg 1963 as Plate 107,confirmed_1897,48,1991.13.36.png,Figural bell or pendant,,167,available,1,true,true,true
1991.13.37,,Wooden weaving sword,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,48,1991.13.37.png,Long wooden rod or staff,,168,available,1,true,true,true
1991.13.38,,Wooden lid covered with decorated bronze sheet,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,Reproduced in von Luschan 1919 on page 435 as figure 686,confirmed_1897,49,1991.13.38_1.png,Carved domed object with projecting elements,,169,available,1,true,true,true
1991.13.39,,Carved wooden staff with a string of shells attached,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,49,1991.13.39.png,Decorated staff or spear with metal tip,,170,available,1,true,true,true
1991.13.40,,Perforated agate bead,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,49,1991.13.40.png,Elongated bead or spindle-shaped object,,171,available,1,true,true,true
1991.13.41,,Perforated agate bead,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,49,,,,,,0,true,false,false
